PostDate,PostText,PostLikes,PostComments,PostShares,PostImages,PostArticles
FSdoenroptsby45u390 559gf1g6u35auu1rrhe7h41,"Thanks to avatars in the #metaverse, individuals will have more control over how they present themselves. What will this mean for businesses? Find out in our #FjordTrends report. https://accntu.re/3FYl2af",126,2 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/274150426_10165994337180374_3350878856261102188_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=MNMt1ic_4l0AX8nbqZa&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9ZA3moj8eqzA8MzZqG3tMSiw63W58ZsAqju2Wo4nsVFw&oe=626E2CC4,none
FSdoenroptsby45u390 559gf1g6u34auu1rrhe7h41,It's Monday after the big game    ,277,4 Shares,none,none,none
FSdoenroptsby45u390 559gf1g6u34auu1rrhe7h41,Discover how Mehmet is doing incredible things in Accenture Interactive to help his clients get the full value of cloud. Want to work like Mehmet? https://accntu.re/3IMpRp3,,3 Shares,none,none,none
FrdoStenpos1a18ia342g0c5a1bi1uyc8gir7 grt1e,64% of a person’s potential at work is tied to having six key needs met. Episode 3 of our podcast #BuiltForChange  explains what those needs are and makes powerful business case for care and compassion at work: https://accntu.re/3rg3kLg #BuiltForChange,135,3 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/273541023_10165983249825374_3135568164160718009_n.png?stp=dst-png_s960x960&_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=n1LNYPKQHb0AX9pF8zD&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9pqYr6hLOVIs2te5LCxvebkUkok-f_RjIZeWxfXjpR1Q&oe=626EDAED,none
FrdoStenpos1a18ia342g0c5a1bi0uyc8gir7 grt1e,What happened when the wish granters had a dream of their own? We delivered a complete #DigitalTransformation to help them help others. https://accntu.re/3uebIg5,accenture.comA dream come true for Make-A-WishGranting wishes faster for children in need,6 Comments,7 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20211103T143450Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2FRedesign-Assets%2FDotCom%2FImages%2FGlobal%2FGeneral%2F119%2FAccenture-A-dream-come-true-for-Make-A-Wish-1200x628.jpeg&cfs=1&ext=jpg&_nc_oe=6fff3&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQGyETu50aObOxP7,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3uebIg5%3Ffbclid%3DIwAR2dNTY0KLdK_rKsOb5JTQvNKhi6FFvnvijWEHI5GTTJg4PheJ1rrZrKPpA&h=AT1pj54_429ZHg2WRdf8XfQbPQVHzTwWyhJxZAS0YbeVegDAaOVkobqrDJUhnZeqz0mu35o_xTxSAV-atXT-5zMqVyj208OBdcPtpwDJkyDmVl0g3yayyss0k90l4oVMmZhn&__tn__=H-R&c[0]=AT3LybhoUALMisZFHaU4ngCHvSdi90SDZqt1qwVDU2x4f6M8W0Dtv3Hl7viSAPsHVA4yJRzCo__ykNdSV7hUZrvL88eqzsTJyNWnsl5aD_u5LAk2JWqc5Cu2-wdIrqxNyPKup8XM7INEsHrFl9PL7qPS5P-z1_AT7JULHlK1R9W-N8S_
FrdoStenpos1a18ia342g0c5a bi9urc8gir7yg7t1e,"150 billion garments are manufactured worldwide each year. Discover how our Harshit, Management Consultant, works in our Supply Chain practice to reduce waste in the apparel industry. https://accntu.re/340EXIS",177,2 Comments,7 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/273764012_10165979214470374_4536722521734358785_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=DyfX7NS2T4EAX8qboeS&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_Ag9tszjO_HgN8Q6K9wjcUgNyt6NREFLE49DiuVhG7JQ&oe=626E6A30,none
nptseoSrdoramhbc6h a76cyaaF0f7re8ucu3g2711,Affordability  Sustainability,169,9 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/273678360_10165976064540374_7480829106301987653_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-5&_nc_sid=9267fe&_nc_ohc=9RQP69bW8LkAX_B87dI&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8_MSBZknuXjEaL05ObXZZkjHzluhyk3XiQDxUoaEzlxA&oe=626E876F,none
nptseoSrdoramhbc6h a76cyaaF0f7re4ucu3g2711, How can you embed #sustainability and social responsibility into the fabric of your organization?,,8 Shares,none,none,none
nptseoSrdoramhbc6h a76cyaaF0f7re3ucu3g2711,"Are you on track to boost your operations maturity? We've discovered a value multiplier that helps you get to future-ready, fast. https://accntu.re/3AtXitD",,3 Comments,7 Shares,none,none
ntopSeodrs3528Fug7u2e313cu8u450ifyiarrba g,Over half of the world’s population live in cities that produce over 70% of carbon emissions—find out how cities are the front line in lowering our global carbon emissions: https://accntu.re/32RDQdM #wef,194,2 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/273310851_10165960245845374_4935587700475614490_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=SWZucmY4gHcAX_g3Lyr&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_Bo-w-PTb6UZUpKH315JNvQUJzvy43IX2Mdq_1k1D3NA&oe=626DC0C8,none
ntopSeodrs3528Fug7u2e312cu8u450ifyiarrba g,"Thank you to our people around the globe who work every day to make a world of difference. Together, we celebrate our 20th consecutive year on the Fortune World's Most Admired Companies list. It is your ingenuity, commitment to social responsibility and continuous innovation that have made this achievement possible. https://accntu.re/3IWJxqm #LetThereBeChange #MostAdmiredCos",400,45 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/273205583_10165957733210374_7804973626437679115_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Jc4wsbPQYI4AX__gVEY&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-VNmPeKOAmD1sK2mlY72kaSaUAdXX3t6RJQ80rmdV9yg&oe=626D7403,none
ntopSeodrs3528Fug7u2e311cu8u450ifyiarrba g,"From selling clothes on Depop to building Substack audiences, people are using technology to build financial freedom and expand their agency. Here's why this matters for brands: https://accntu.re/3457vAs #FjordTrends",138,3 Comments,4 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/273207202_10165954788780374_7855009747426741195_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=R8H5Z969XKYAX8D53MS&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_16ALuOP-GMRh_b_Jjje1F328L7DUOqDPgNE-BN127Ng&oe=626EB37B,none
JoneropSstdicy73h0u80an0c10ama88a1a51 g00rm,"In Norway, one innovative waste management company is breaking down plastic using enzymes, sorting papers with sensors—and revolutionizing recycling. The full story is in our podcast #BuiltForChange: https://accntu.re/3Ax3pNK",173,4 Comments,4 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/273036615_10165952914360374_6494380086474061515_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=mAnj3xPAMj0AX9f3l5O&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9RMSy287ZsP-YOoRL_vQJNAJxYoqy2Vf1pN489MuMfHA&oe=626DBAEF,none
JoneropSstdicy72h0u80an0c80ama88a1a51 g00rm,"It’s here: #FjordTrends 2022 details how organizations can use design to help us all face changes and challenges. (Think: adoption of the metaverse, the increasing importance of trust, a growing awareness of the importance of care, and reevaluating our impact on the planet, and more.) Read it now: https://accntu.re/3qBtcB6",170,9 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/272930715_10165943985855374_8871145948824449998_n.jpg?stp=dst-jpg_s960x960&_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Sfg1Io6t4aAAX-4nVW-&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-1vuUgqSvcBjbRQQIkWnESeVfUIwct_jI3xce6FHqssw&oe=626EC595,none
JoneropSstdicy72h0u80an0c70ama88a1a51 g00rm,We’re honored to receive a perfect score on Human Rights Campaign’s Corporate Equality Index and be named a 2022 Best Place to Work for LGBTQ+ Equality. A big thank you to our people helping us foster an inclusive culture where everyone can thrive. https://accntu.re/3g3fXmI #PrideAtAccenture #CEI2022,238,6 Comments,14 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/272824756_10165942169320374_3947691033804406575_n.jpg?stp=dst-jpg_s960x960&_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=QvJ5QeuxihAAX-rScvX&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8PcUhB9wVUer-_s3yom21d9hBZQ9Gi5jqYxZzF9nXCtw&oe=626E805D,none
JrnSptdsooe01 6turfh10lul1f0n7c2ay19g3a1884,"We are honored to be the highest-scoring company on Bloomberg LP's Gender-Equality Index. Transparency builds trust and helps us all make more progress, and we continue to set goals and hold our leaders accountable for creating a culture of equality where our 674,000 people can advance and thrive. https://accntu.re/3KKG6oa",275,12 Comments,16 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/272848717_10165938943805374_1780833542316095264_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=NSouVj9p58MAX8OoCZl&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8V5nxJqfBNiHPohax96CoJT0qlPDwqiEA3TXsZoDzJ5Q&oe=626E5815,none
JrnSptdsooe01 6turfh10lul1f0n7c2ay19g3a1884,Operational change isn’t a one and done event. Find out how applying 4 levers in an integrated way can have a multiplier effect on your operations maturity. https://accntu.re/344CZXp,"accenture.comThe Value Multiplier | AccentureIn Accenture's latest research modeling, we discovered a multiplier effect that can fast-track organizations' operations to future-ready performance.",8 Shares,none,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20211222T024857Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2FRedesign-Assets%2FDotCom%2FImages%2FGlobal%2FGeneral%2F127%2FAccenture-Social-Share-Image-1200x628.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHA8u8SnN0PgcII,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F344CZXp%3Ffbclid%3DIwAR00_YJVCefdglU526WDz2ZQ2_Jicvi9Pln7UtsItWdQIapNA4eAEsE89Ak&h=AT1POcI-Vs49N9Kx0IvhG7582IBAaozFuWHTeo9uk4njP5fBvMfEmfdzZ468YVWT9RcNEwNgyk4pWRstCTVPpspnCHL9tjl0E71SXSNnr-GRkilz77fC_dY78V79mYx58b5G&__tn__=H-R&c[0]=AT0Wozzeu2osta4EMJIUld9HSN_7x-y5h8On8ZKuOt5c4hjDKuCmssZ8zhYLZJAtqbkiypryg69WlwkLKp6RlIJiKKQCCv53uJEgD2Abw7BpAYFSmPxltCwK_40MKYR3gvJTyszDGlNfoE-7HETaKGS5JFUi_J5WFNdszIN8dAH_WaFZ
JrnSptdsooe01 5turfh10lul1f0n7c2ay19g3a1884,Discover how Mehmet is doing incredible things in Accenture Interactive to help his clients get the full value of cloud. Want to work like Mehmet? https://accntu.re/3A9hrVJ,,3 Comments,3 Shares,none,none
Ssrponotediaru21 92m9nJ6f64t30c3at7fi4y24a,"In Norway, one innovative waste management company is breaking down plastic using enzymes, sorting papers with sensors—and revolutionizing recycling. The full story is in our podcast #BuiltForChange: https://accntu.re/3nvhANW",162,7 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/272627712_10165932594300374_6492011101525751901_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=EKtpo3P4nT4AX-imG9t&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8h2rojwhbk7Zjf2oxeMndh6NpHAaOXqAUV0s46Fw_ibw&oe=626F3CF8,none
Ssrponotediaru21 92m9nJ6f64t30c3at7fi4y20a,Can data-led drug discovery deliver breakthroughs that don’t break the bank? Learn more on our #BuiltForChange podcast  : https://accntu.re/3zXqGbl,168,5 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/272155871_10165921170035374_8216705078606535830_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=hyGMSh08DMwAX9w9g8l&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-A_NJqT5MfZTRPHedhc8bKodppT_ZP-9croelterz3RQ&oe=626E4DA7,none
Ssrponotediaru21 92m9nJ6f64t30c3at7fi4y19a,"Ever wonder what it’s like to work with 600,000 brilliant minds under one roof? Experience real career stories from our people. https://accntu.re/33xfrds #CareersAZ",237,5 Comments,15 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/272145834_10165919072440374_3490065700537208734_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-5&_nc_sid=9267fe&_nc_ohc=PymPdyLlTqQAX_ShbPy&_nc_ht=scontent.ftun16-1.fna&oh=00_AT93fh6pYb7vbc9VN9nthPjC1_quctnkDNQ-15vCLWQtAA&oe=626DAEF7,none
ertndSoosp109ru a5gaaiun718a3yt8a3mmJg15mt,Is your company cultivating a culture of innovation?,"fastcompany.comFast Company now accepting applications for Best Workplaces for InnovatorsThe fourth annual BWFI awards features six new categories, focusing on diversity, sustainability, and more.",4 Shares,none,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fimages.fastcompany.net%2Fimage%2Fupload%2Fw_1280%2Cf_auto%2Cq_auto%2Cfl_lossy%2Fwp-cms%2Fuploads%2F2022%2F01%2Fp-1-fast-company-now-accepting-applications-for-best-workplaces-for-innovators.jpg&cfs=1&ext=jpg&_nc_oe=6fff3&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHRkJoQJX_pRj2y,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F34Pu9Nx%3Ffbclid%3DIwAR3V5bbSsMcWadU_gxeDZnRwwFPd5ExhyYezq8Z5wqDBjoVUqQjwEnkbii8&h=AT3y5cRxDAFKjI8_Hn5JyoMLF95jFo1lOt6Zdo7p3xJ89SdiZ_P-OCKkFsEhpz2Ph6nuHJPwH-oVfzM8PHC4hEdfL5maK8B_SzWAjPJffWvvVmta4oJ61S7zA1cBqBhMZKVd&__tn__=H-R&c[0]=AT3t7NP1BOLvaZH1RXjAQls3sI7XDmfumsLE5ulXO4DUD88cM-ms9bQsccvzod8HSYn74WZUDhW1qC6CCG6VnDLlU3L2A5UpSN-f9qitRcGYL2GEN_pDY8hUh3T137T32uYC1lr7lX5fGu-vjC5hLHamFS2XbF-veqk7NAHrTan91oD3
ertndSoosp109ru a5gaaiun718a3yt8a3mmJg15mt,#FjordTrends 2022 is here: https://accntu.re/3qotoDu,,10 Shares,none,none,none
ertndSoosp109ru a5gaaiun714a3yt8a3mmJg15mt,"This is a real moment of truth for companies. And technology is the key to staying ahead. More in ep. 2 of our podcast, #BuiltForChange : https://accntu.re/3F4y7yl #TechVision2021",175,5 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271859915_10165904980255374_5823779889315146551_n.png?stp=dst-png_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=r1sYSN6XoAQAX8s0W_V&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9hXtI6M1LjSewMQP-goMHj0pLuoUz3AcobGnMmp1y0dg&oe=626DC39B,none
JoetnoprSds2nr9 4c034180ly0gafc11gmualig062,"It’s here: #FjordTrends 2022 details how organizations can use design to help us all face changes and challenges. (Think: adoption of the metaverse, the increasing importance of trust, a growing awareness of the importance of care, and reevaluating our impact on the planet, and more.) Read it now: https://accntu.re/3zuTQ1i",159,3 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271875711_10165901652695374_6822842641639009087_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-5&_nc_sid=9267fe&_nc_ohc=mghZMpePV2sAX_vf4tg&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8rUcV0a7XxRLT3j-aY2wvskBH_ier4gfQW7zLix1uvqw&oe=626F2026,none
JoetnoprSds2nr9 4c024180ly0gafc11gmualig062,Discover opportunities to add value and embrace change. https://accntu.re/3q3DOsg #LetThereBeChange,176,4 Comments,2 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271856317_10165898978265374_762575393250343767_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=PW2PDAGmUzcAX9ITxSI&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8bff85ytaov5d1MmrmA3_tFDhywzNyRW0EllJVQzAw5Q&oe=626E6820,none
JoetnoprSds2nr9 4c014180ly0gafc11gmualig062,"We measure our impact in part by the benefit we bring our people, partners and communities around the world. We’re proud to be ranked in the top 20 of America’s Most Just Companies by CNBC and JUST Capital: https://accntu.re/34JgnMv #JUST100",234,3 Comments,8 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271826621_10165896558095374_8134985229695186717_n.png?stp=dst-png_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=eFGfJYO8QysAX-UlcsS&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9-vmLLt65iR6th2lF4i7jNfEPR0fw-DNLHJpQw7wI43g&oe=626F0F82,none
denoSposrthhcf610c4u9atuul15Jat nryuatmt60,"150 billion garments are manufactured worldwide each year. Discover how our Harshit, Management Consultant, works in our Supply Chain practice to reduce waste in the apparel industry. https://accntu.re/3G6XaSP",237,8 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271750937_10165893055155374_7081223277559757431_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=p-RLQbBx2GYAX_BxpV-&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8v3NncpMnYsGNAvzB2nLneJskGfVdHcLdM8sHeRH-tKg&oe=626E659A,none
denoSposrthhcf617c4u9atuul 5Jat8nryuatmt60,"What is the new fabric of life?  How will the relationships between people, technology, brands and the planet change? Our 15th annual #FjordTrends report has answers: https://accntu.re/33vxcKf",222,9 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271598877_10165884104945374_6810213240776617071_n.png?stp=dst-png_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=XDdAiJwM0b0AX-ImG2V&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9hFuoHrYnusc03urPafhBKPRwkUJAQ_R7ja12U8n6IFg&oe=626DDF57,none
denoSposrthhcf616c4u9atuul 5Jat8nryuatmt60,Developing innovative climate technology is a breath of fresh air. Find out how Gary's work in Industry X is helping limit global warming. Want to work like Gary? https://accntu.re/3dCDWrn #CareersAZ,159,9 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271146674_10165881924360374_9095828264850235273_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=-VYnNVlra8cAX-L-c1f&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_zIAH6A2O4xY54UJKWggauHrfW2dsInyy3KSu-PucdeQ&oe=626E00E9,none
seodtrSpnoun92u81rca6ly0 3g741631aum1u00tJ, We joined #PurpleLightUp last month and illuminated more than 30 of our offices to celebrate and raise awareness about persons with disabilities. Our 2022 goal: to continue the conversation on #disabilityinclusion. Will you join us? https://accntu.re/3q8CyUN,,8 Comments,22 Shares,none,none
seodtrSpnoun92u81rca5ly0 3g741631aum1u00tJ,64% of a person’s potential at work is tied to having six key needs met. Episode 3 of our podcast #BuiltForChange  explains what those needs are and makes powerful business case for care and compassion at work: https://accntu.re/3DEqjm8 #BuiltForChange,213,10 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271442897_10165879409060374_6583643944868787174_n.png?stp=dst-png_s960x960&_nc_cat=102&ccb=1-5&_nc_sid=9267fe&_nc_ohc=TqCnmzZbIb8AX-dDUB1&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9y6NSnYN63AN9lnl7o_kz1pjM6eWUUnIFvKbEfncJciQ&oe=626E4895,none
seodtrSpnoun92u81rca4ly0 3g741631aum1u00tJ,Only together can we #DefendThePlanet to ensure a greener future.,490,16 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271218599_10165877104640374_7501710145966782603_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=t6ClZ70rXW8AX8v2T54&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_usNoDqhq2Y5YeGeeyaoYYyzcd79RcWtYPfXc4MpzG9w&oe=626F0A08,none
trSnesoopd5515c3nft308ua8yJal2g11ah urg06a,We're helping businesses see positive value in every direction to benefit the world around us. Join us and make your impact: https://accntu.re/3lRgyeh #LetThereBeChange,,7 Shares,none,none,none
trSnesoopd5515c3nft308ua8yJal2g11ah urg06a,The big question at #CES2022 this year: How have global events changed consumer values—and how can companies better understand what matters now? Join us and learn more: https://accntu.re/33EDI1n,,8 Shares,none,none,none
"rnotodespSc1me rc4b1l813 ee1h552tuhmf2651Dg,090","To reach net-zero by 2025, we’re making significant investments in nature-based carbon removal projects around the .",,16 Shares,none,none,none
"DtosSrpndeof350e9e530b3mc071uem, 2mcrfi2u 1i11gm",Discover opportunities to add value and embrace change. https://accntu.re/3IC60cU #LetThereBeChange,203,6 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/271062468_10165862447510374_8075534915444696844_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=znKL5gCde9sAX9fyStP&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_R4BlIlfmC8HEz5-Ysmz402iqchLedUuYxSXZLMQs4QQ&oe=626E649F,none
"DtosSrpndeof358e9e520b3mc071uem, 2mcrfi2u 1i11gm","Ever wonder what it’s like to work with 600,000 brilliant minds under one roof? Experience real career stories from our people. https://accntu.re/3lNf9W0 #CareersAZ",310,6 Comments,29 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/270852653_10165857424035374_155217505774979868_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=gVVmb_o6DYAAX9F-69u&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9LHiAObSfuiZW4bVINuEMiS4nJHyBQbvWE7s6VOHMMuQ&oe=626EDEC2,none
"DtosSrpndeof357e9e520b3mc071uem, 2mcrfi2u 1i11gm",Step away from the sugar.  Here's something just as fun to keep you busy: Our new #FjordTrends 2022 report. https://accntu.re/3IR4xzB,301,12 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/270074941_10165855369800374_9207687235996548256_n.png?stp=dst-png_s960x960&_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=lvzdbIEM1KgAX_amds3&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-JoR1867_MmPd586xt3vaT9mo_kYYzJufKEJQfUtPoYg&oe=626EAB56,none
"rotepSdnosecru,76m1bu53D3hh9g11ie002u 2ea12 ah4"," There are more than 1 billion people in the world with disabilities, which makes more than 1 billion reasons for building a more inclusive, accessible workplace—and world: https://accntu.re/3rMyg6B #LetThereBeChange",,15 Shares,none,none,none
"rotepSdnosecru,76m1bu53D3hh9g11ie002u 2ea12 ah4", Happy Holidays from all of us at Accenture! ,3K,33 Comments,350 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/269969738_10165845703410374_5887592399858548999_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=xOyA0HravOcAX_KRjGU&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8yPbs2n6mq6ApCsyDTB_Ug4P1_fhW1RogCyUZn0HHe6w&oe=626F064C,none
"rotepSdnosecru,76m1bu53D3hh9g11ie002u 2ea12 ah3","It’s here: #FjordTrends 2022 details how organizations can use design to help us all face changes and challenges. (Think: adoption of the metaverse, the increasing importance of trust, a growing awareness of the importance of care, and reevaluating our impact on the planet, and more.) Read it now: https://accntu.re/3IPfQbl",189,6 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/269869225_10165843603415374_1876299115627610865_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=bxWZ5ll2TCcAX9hwAig&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-FdbnmZzUb5yN2P7sYLcWS6OFOMg15QjUfSZwAGKVrHQ&oe=626E3193,none
"soopedntrS70m1h3m2fe,2h ce eb7219u600r09126Du2t","Meet Dr. Isi—a testimony that you, too, can architect your future in tech at Accenture. Read on to see how you can work like Dr. Isi: https://accntu.re/3rOS6y0 #CareersAZ",,5 Shares,none,none,none
"soopedntrS70m1h3m2fe,2h ce eb7219u600r09126Du1t",“Sustainability DNA” is at the heart of how leading companies set strategy and create value.  Learn more on episode 9 of our podcast #BuiltForChange: https://accntu.re/3dC2vVq,208,11 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/269621126_10165838976975374_3586202375372974251_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=XOwciyORAGgAX-4w8lc&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-ySjWvUOLlloNvZrroAFP43eWgyKGGAbGq2X7ak_7iMA&oe=626E9582,none
"soopedntrS70m1h3m1fe,2h ce eb7219u600r09126Du7t","To reach net-zero by 2025, we’re making significant investments in nature-based carbon removal projects around the .",,15 Shares,none,none,none
"soetrdSonp0,8585ie0158rg2eD624h1u bea fa2cc1flm",Join us at #CES2022 as we discuss the importance of understanding consumer values to enable growth and create value. https://accntu.re/3GMyXRp,,7 Shares,none,none,none
"soetrdSonp0,8585ie0158rg2eD624h1u bea fa2cc1flm"," We’re planting a tree for every person at Accenture—674,000 total, all around the world—as a way to recognize the importance of every one of our people, our collaborative way of working and our strong commitment to sustainability: https://accntu.re/3EY8IqO",1.1K,26 Comments,240 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/269385725_10165825212680374_2398924000987377916_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=t0Vpt3X4xVgAX_GC_zV&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_7jFB57pYoR3FTfuHI7oU9w7wEjb6BY1d8LO7Wvp9rpw&oe=626F07B3,none
